frame_number,timestamp_ms,angle_left_elbow,angle_right_elbow,angle_left_shoulder,angle_right_shoulder,angle_left_hip,angle_right_hip,angle_left_knee,angle_right_knee,angle_left_ankle,angle_right_ankle,angle_upper_back,angle_lower_back
17,566.5693848354792,169.58617693420115,,143.1487503429484,,124.2431333352568,138.3793932084391,141.53583826886577,144.62704013996827,174.09198758243068,159.98713031870568,179.54040210766235,130.96755294095428
18,599.8969957081545,169.98334895211383,,146.3789718493815,,128.47064581374747,149.88681195218928,145.41544591855308,136.0347807177975,150.3624348039912,168.56496156566382,179.98489590830917,138.5404971027131
19,633.2246065808298,169.49991535722242,,146.91194189797363,,133.504878423216,155.4038105552491,126.43988493473151,125.08768708876804,162.8876038667699,146.76413540646035,179.96806959729065,144.04159280344606
20,666.552217453505,167.90629605303724,,149.8394921032956,,132.1898887038568,161.7083445014078,121.00639657471262,125.65465229550983,167.607414711497,142.67533458875326,179.96199499116932,146.46551390827122
21,699.8798283261802,158.39859530819228,,154.66626755832684,,134.82261388277902,164.05839867621913,120.06347575890315,127.69453915007618,153.7320550091439,150.8779035911429,179.98267210918635,149.2077672913737
22,733.2074391988556,146.60425793789906,,155.2181454523567,,137.55245577201302,165.26437492718534,115.48905219584923,118.23977184413344,138.8281584989619,145.57198703706095,179.9887416181742,150.93513772537943
23,766.5350500715308,133.05857787673142,,150.02589902545782,,141.07360097390102,167.42240088549727,116.3432019656361,111.88618524173947,157.298602126409,147.95775999573533,179.99175441032284,154.2911641786565
24,799.862660944206,106.81641825550881,,135.43169123797654,,135.49428094582035,170.9888216617386,116.26129620127433,122.10215839846182,156.59235236337275,152.28736170008747,179.98906122146053,154.98515917373348
25,833.1902718168814,82.5647237505754,,114.83097428128355,,132.81109168383816,179.9563942419434,102.82833135660857,130.9331155446991,162.98645010014963,148.3668080600292,179.9896286074426,155.96012742054828
26,866.5178826895566,69.1908513357699,,93.91993559221021,,121.11849165850697,179.7355148475128,88.59257156210359,122.82829971986587,163.27003095720173,164.57133975270986,179.9899378999494,148.41530758514176
27,899.8454935622318,78.92144366643313,,82.25378133220826,,113.39388081796322,171.77458938529378,78.05420047259823,132.00029086827644,170.48129927984016,158.39801514959473,179.99059100414823,147.8286651323639
28,933.1731044349069,86.25654376427615,,75.22018219188759,,107.43924084515776,173.18821779776528,77.68610361061317,110.45380449488248,163.7335987937202,163.67176830666148,179.99140894676532,139.55135363109864
29,966.5007153075823,98.08568648685697,,66.89979759644636,,99.45645647905397,173.0888971949551,73.73853306988643,111.87937983511381,158.85928288320443,169.78262176401017,179.99474232185534,136.61423705793442
30,999.8283261802575,110.41210708785205,,68.1495563044294,,92.65473882673064,169.60919729759047,76.32026130610757,109.83685843770198,151.71665995240667,170.60245257979915,179.99520947371101,132.59945486490795
31,1033.1559370529328,120.92968514842586,,72.94562050597314,,88.51716723827681,163.90762011173516,75.36500071101716,112.59231197153223,156.14534090813038,166.68544155427549,179.99373248871453,127.20848554393466
